"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
142901;"m. Sokołów Podlaski";"sokołowski";"mazowieckie";18;9;9;13589;14262;2717;10870;1;10871;27;149;1;1;0;0;0;0;10868;0;0;10868;150;73;51;26;10718;124;1827;494;4636;865;2519;209;;27;;17;
142902;"gm. Bielany";"sokołowski";"mazowieckie";18;4;4;2764;2760;456;2308;0;2308;35;20;0;0;0;0;0;0;2308;0;4;2304;78;41;31;6;2226;42;267;41;1475;206;144;38;;6;;7;
142903;"gm. Ceranów";"sokołowski";"mazowieckie";18;3;3;1571;1642;436;1135;0;1135;3;10;0;0;0;0;0;0;1135;0;2;1133;46;22;17;7;1087;24;135;31;704;94;76;16;;5;;2;
142904;"gm. Jabłonna Lacka";"sokołowski";"mazowieckie";18;5;5;3273;3452;834;2439;0;2439;16;36;0;0;0;0;0;0;2438;0;2;2436;62;35;23;4;2374;37;384;70;1476;146;200;56;;4;;1;
142905;"gm. Kosów Lacki";"sokołowski";"mazowieckie";18;7;7;4352;4606;1031;3321;2;3323;7;65;2;2;0;0;0;0;3321;0;0;3321;62;28;26;8;3259;45;446;99;1980;303;309;59;;13;;5;
142906;"gm. Repki";"sokołowski";"mazowieckie";18;7;7;3777;3967;787;2990;1;2991;12;45;1;0;0;0;0;1;2991;1;1;2990;55;29;19;7;2935;37;585;53;1798;203;190;60;;7;;2;
142907;"gm. Sabnie";"sokołowski";"mazowieckie";18;5;5;2575;2765;629;1946;6;1952;2;21;6;2;0;0;0;4;1950;4;0;1950;44;15;22;7;1906;28;431;44;1012;180;171;35;;4;;1;
142908;"gm. Sokołów Podlaski";"sokołowski";"mazowieckie";18;9;9;4412;4688;908;3504;0;3504;7;57;0;0;0;0;0;0;3504;0;3;3501;67;24;33;10;3434;43;539;119;1891;308;467;46;;10;;11;
142909;"gm. Sterdyń";"sokołowski";"mazowieckie";18;6;6;2885;3049;703;2182;0;2182;4;24;0;0;0;0;0;0;2182;0;0;2182;61;37;18;6;2121;43;435;89;1143;186;185;28;;9;;3;
143001;"gm. Chlewiska";"szydłowiecki";"mazowieckie";17;8;8;4321;4631;1276;3045;0;3045;21;30;0;0;0;0;0;0;3044;0;0;3044;120;79;41;0;2924;51;257;140;1725;267;443;33;8;;;;
143002;"gm. Jastrząb";"szydłowiecki";"mazowieckie";17;6;6;3719;3977;770;2949;0;2949;8;28;0;0;0;0;0;0;2949;0;2;2947;73;52;21;0;2874;69;316;94;1657;270;425;37;6;;;;
143003;"gm. Mirów";"szydłowiecki";"mazowieckie";17;3;3;2680;2906;694;1986;0;1986;3;6;0;0;0;0;0;0;1985;0;0;1985;78;51;27;0;1907;15;108;39;1162;153;389;35;6;;;;
143004;"gm. Orońsko";"szydłowiecki";"mazowieckie";17;8;8;4140;4547;819;3321;0;3321;5;27;0;0;0;0;0;0;3321;0;0;3321;91;60;31;0;3230;77;329;119;1932;264;427;75;7;;;;
143005;"gm. Szydłowiec";"szydłowiecki";"mazowieckie";17;11;11;12951;13803;3366;9583;4;9587;25;133;4;0;0;0;0;4;9588;4;3;9585;145;92;53;0;9440;153;1086;422;4988;759;1863;145;24;;;;
143201;"gm. Błonie";"warszawski zachodni";"mazowieckie";20;13;13;15779;16733;2468;13312;8;13320;20;154;7;0;0;0;1;6;13315;6;4;13311;129;70;59;0;13182;266;1669;928;4349;936;4811;223;;;;;
143202;"gm. Izabelin";"warszawski zachodni";"mazowieckie";20;5;5;8064;8344;964;7119;5;7124;9;288;5;1;0;0;0;4;7119;4;6;7113;62;23;39;0;7051;140;1013;485;2220;463;2609;121;;;;;
143203;"gm. Kampinos";"warszawski zachodni";"mazowieckie";20;2;2;3189;3575;350;2839;1;2840;9;51;1;0;0;0;0;1;2840;1;0;2840;56;22;34;0;2784;74;446;165;1179;187;701;32;;;;;
143204;"gm. Leszno";"warszawski zachodni";"mazowieckie";20;7;7;8055;8187;1599;6457;4;6461;12;219;4;0;0;0;0;4;6461;4;2;6459;78;39;39;0;6381;138;908;450;2028;436;2319;102;;;;;
143205;"gm. Łomianki";"warszawski zachodni";"mazowieckie";20;13;13;21145;22126;1914;19233;3;19236;27;696;3;0;0;0;0;3;19237;3;11;19226;147;72;75;0;19079;312;2644;1527;4845;1173;8299;279;;;;;
143206;"gm. Ożarów Mazowiecki";"warszawski zachodni";"mazowieckie";20;21;21;20006;21004;2386;17622;6;17628;23;561;4;0;0;0;0;4;17611;4;2;17609;137;82;55;0;17472;422;2674;1187;5051;1346;6517;275;;;;;
143207;"gm. Stare Babice";"warszawski zachodni";"mazowieckie";20;8;8;14409;15793;794;13655;0;13655;20;577;0;0;0;0;0;0;13651;0;1;13650;119;57;62;0;13531;260;2028;906;3543;934;5630;230;;;;;
143301;"m. Węgrów";"węgrowski";"mazowieckie";18;6;6;9048;9615;1726;7322;7;7329;18;140;7;1;0;0;0;6;7328;6;4;7324;91;55;24;12;7233;92;1072;421;2905;535;2057;133;;8;;10;
143302;"gm. Grębków";"węgrowski";"mazowieckie";18;4;4;3135;3426;794;2341;0;2341;23;21;0;0;0;0;0;0;2341;0;0;2341;52;33;13;6;2289;38;292;77;1406;144;270;50;;7;;5;
143303;"gm. Korytnica";"węgrowski";"mazowieckie";18;5;5;4340;4666;1007;3319;1;3320;4;31;1;0;0;0;0;1;3317;1;1;3316;121;53;47;21;3195;51;383;85;2046;246;330;42;;7;;5;
143304;"gm. Liw";"węgrowski";"mazowieckie";18;11;11;5301;5629;1112;4189;2;4191;7;57;2;1;0;0;0;1;4183;1;1;4182;86;55;20;11;4096;58;501;186;2239;345;680;71;;11;;5;
143305;"gm. Łochów";"węgrowski";"mazowieckie";18;22;22;12627;13885;2067;10560;17;10577;10;227;17;5;0;0;0;12;10569;12;3;10566;240;132;91;17;10326;179;1701;450;5296;899;1619;154;;11;;17;
143306;"gm. Miedzna";"węgrowski";"mazowieckie";18;5;5;2814;2991;581;2233;2;2235;6;24;2;0;0;0;0;2;2235;2;0;2235;38;14;20;4;2197;46;273;71;1330;169;254;44;;4;;6;
143307;"gm. Sadowne";"węgrowski";"mazowieckie";18;6;6;4237;4585;929;3308;2;3310;6;46;2;0;0;0;0;2;3310;2;0;3310;87;45;32;10;3223;58;405;117;1951;216;429;38;;2;;7;
143308;"gm. Stoczek";"węgrowski";"mazowieckie";18;9;9;3567;3843;800;2767;1;2768;2;35;1;0;1;0;0;0;2767;0;0;2767;78;52;25;1;2689;49;368;104;1600;205;328;23;;4;;8;
143309;"gm. Wierzbno";"węgrowski";"mazowieckie";18;4;4;1925;2131;414;1511;0;1511;7;23;0;0;0;0;0;0;1510;0;0;1510;50;21;24;5;1460;23;149;52;918;110;177;25;;2;;4;
143401;"m. Kobyłka";"wołomiński";"mazowieckie";20;15;15;19222;19318;2935;16288;1;16289;17;229;1;0;0;0;0;1;16288;1;0;16288;139;63;76;0;16149;582;2470;1168;5322;1231;5071;305;;;;;
143402;"m. Marki";"wołomiński";"mazowieckie";20;14;14;26179;28751;2343;23836;5;23841;25;446;5;0;0;0;0;5;23831;5;8;23823;155;79;76;0;23668;822;3545;1764;6799;2001;8349;388;;;;;
143403;"m. Ząbki";"wołomiński";"mazowieckie";20;15;15;26177;28003;3276;22890;3;22893;29;829;3;0;0;0;0;3;22879;3;6;22873;187;103;84;0;22686;517;3497;1746;6651;1828;8041;406;;;;;
143404;"m. Zielonka";"wołomiński";"mazowieckie";20;16;16;13067;13737;1492;11559;7;11566;20;236;7;0;0;0;0;7;11571;7;2;11569;105;50;55;0;11464;302;1558;871;3712;932;3854;235;;;;;
143405;"gm. Dąbrówka";"wołomiński";"mazowieckie";20;12;12;5875;6450;668;5218;2;5220;8;131;2;0;0;0;0;2;5220;2;0;5220;91;54;37;0;5129;110;596;227;2853;395;835;113;;;;;
143406;"gm. Jadów";"wołomiński";"mazowieckie";20;10;10;5464;5955;1195;4269;3;4272;7;104;3;0;0;0;0;3;4272;3;1;4271;109;57;52;0;4162;92;627;179;2133;306;767;58;;;;;
143407;"gm. Klembów";"wołomiński";"mazowieckie";20;12;12;7860;8383;1330;6541;2;6543;14;91;2;0;0;0;0;2;6543;2;1;6542;122;64;58;0;6420;195;826;394;3129;540;1201;135;;;;;
143408;"gm. Poświętne";"wołomiński";"mazowieckie";20;7;7;4479;4980;726;3753;0;3753;6;37;0;0;0;0;0;0;3753;0;0;3753;99;40;59;0;3654;111;415;150;2159;316;446;57;;;;;
143409;"gm. Radzymin";"wołomiński";"mazowieckie";20;13;13;20587;21693;3085;17500;10;17510;15;502;10;2;0;0;0;8;17483;8;4;17479;179;69;110;0;17300;419;2511;1133;6864;1458;4509;406;;;;;
143410;"gm. Strachówka";"wołomiński";"mazowieckie";20;5;5;2004;2171;481;1523;0;1523;3;27;0;0;0;0;0;0;1523;0;0;1523;49;33;16;0;1474;39;184;66;856;86;232;11;;;;;
143411;"gm. Tłuszcz";"wołomiński";"mazowieckie";20;16;16;14598;15421;2769;11830;0;11830;11;55;0;0;0;0;0;0;11829;0;11;11818;241;142;99;0;11577;302;1728;586;5724;869;2203;165;;;;;
143412;"gm. Wołomin";"wołomiński";"mazowieckie";20;32;32;36745;38484;5538;31193;13;31206;32;416;12;0;0;1;0;11;31196;11;7;31189;351;183;168;0;30838;810;3947;2142;12047;2385;8955;552;;;;;
143501;"gm. Brańszczyk";"wyszkowski";"mazowieckie";18;9;9;6039;6330;1362;4667;0;4667;14;61;0;0;0;0;0;0;4666;0;0;4666;113;56;42;15;4553;73;879;235;2401;396;474;76;;10;;9;
143502;"gm. Długosiodło";"wyszkowski";"mazowieckie";18;6;6;5489;6044;1141;4348;1;4349;1;78;1;0;0;0;0;1;4349;1;2;4347;147;79;57;11;4200;62;1067;135;2104;323;441;58;;4;;6;
143503;"gm. Rząśnik";"wyszkowski";"mazowieckie";18;9;9;4899;5399;926;3973;2;3975;8;61;0;0;0;0;0;0;3973;0;0;3973;126;70;40;16;3847;139;567;122;2275;338;339;55;;11;;1;
143504;"gm. Somianka";"wyszkowski";"mazowieckie";18;7;7;4354;4649;916;3437;0;3437;10;91;0;0;0;0;0;0;3438;0;0;3438;110;58;44;8;3328;51;680;138;1737;249;418;33;;12;;10;
143505;"gm. Wyszków";"wyszkowski";"mazowieckie";18;29;29;28719;31036;4963;23750;1;23751;73;669;0;0;0;0;0;0;23752;0;11;23741;446;235;163;48;23295;395;4790;1188;9260;1898;5340;352;;43;;29;
143506;"gm. Zabrodzie";"wyszkowski";"mazowieckie";18;5;5;4289;4906;560;3729;0;3729;5;200;0;0;0;0;0;0;3729;0;0;3729;105;54;41;10;3624;64;563;159;1794;283;674;67;;14;;6;
143601;"gm. Kazanów";"zwoleński";"mazowieckie";17;7;7;3307;3480;863;2444;0;2444;10;39;0;0;0;0;0;0;2444;0;1;2443;56;28;28;0;2387;64;313;106;1448;164;236;50;6;;;;
143602;"gm. Policzna";"zwoleński";"mazowieckie";17;7;7;3895;4400;983;2913;1;2914;2;30;1;0;0;0;0;1;2914;1;0;2914;77;54;23;0;2837;64;399;151;1576;200;347;90;10;;;;
143603;"gm. Przyłęk";"zwoleński";"mazowieckie";17;10;10;4190;4612;1103;3087;1;3088;5;48;1;0;0;0;0;1;3088;1;3;3085;84;61;23;0;3001;44;400;146;1824;208;260;93;26;;;;
143604;"gm. Tczów";"zwoleński";"mazowieckie";17;5;5;3419;3732;869;2550;0;2550;6;25;0;0;0;0;0;0;2550;0;0;2550;58;36;22;0;2492;51;365;94;1528;227;174;44;9;;;;
143605;"gm. Zwoleń";"zwoleński";"mazowieckie";17;14;14;10585;11344;2586;7999;0;7999;9;110;0;0;0;0;0;0;7998;0;20;7978;121;82;39;0;7857;125;1264;482;3904;592;1256;190;44;;;;
143701;"gm. Bieżuń";"żuromiński";"mazowieckie";16;3;3;3411;3680;880;2531;7;2538;1;16;7;0;0;0;0;7;2538;7;0;2538;43;28;15;0;2495;26;416;197;1432;135;239;50;;;;;
143702;"gm. Kuczbork-Osada";"żuromiński";"mazowieckie";16;4;4;3277;3533;912;2365;1;2366;3;27;1;0;0;0;0;1;2366;1;0;2366;69;44;25;0;2297;23;532;222;1050;137;299;34;;;;;
143703;"gm. Lubowidz";"żuromiński";"mazowieckie";16;5;5;4870;5097;1439;3431;0;3431;11;40;0;0;0;0;0;0;3431;0;0;3431;109;76;33;0;3322;52;599;346;1688;182;418;37;;;;;
143704;"gm. Lutocin";"żuromiński";"mazowieckie";16;5;5;3151;3263;1075;2078;1;2079;1;5;1;0;0;0;0;1;2079;1;0;2079;58;41;17;0;2021;23;337;175;1141;117;180;48;;;;;
143705;"gm. Siemiątkowo";"żuromiński";"mazowieckie";16;5;5;2359;2613;661;1698;0;1698;8;43;0;0;0;0;0;0;1698;0;0;1698;60;42;18;0;1638;16;244;67;1048;102;138;23;;;;;
143706;"gm. Żuromin";"żuromiński";"mazowieckie";16;14;14;10356;10603;2814;7540;11;7551;29;78;11;1;0;0;0;10;7552;10;0;7552;125;83;42;0;7427;76;1494;1216;2946;363;1263;69;;;;;
143801;"m. Żyrardów";"żyrardowski";"mazowieckie";16;24;24;27758;30740;3285;24466;9;24475;36;1284;8;1;0;0;1;6;24479;7;14;24465;226;122;104;0;24239;536;3346;2478;7614;1398;8509;358;;;;;
143802;"gm. Mszczonów";"żyrardowski";"mazowieckie";16;14;14;8216;9144;1323;6893;0;6893;11;235;0;0;0;0;0;0;6892;0;0;6892;119;74;45;0;6773;263;1007;556;2780;538;1516;113;;;;;
143803;"gm. Puszcza Mariańska";"żyrardowski";"mazowieckie";16;9;9;6274;6908;1191;5083;1;5084;0;53;1;0;0;0;0;1;5084;1;0;5084;91;58;33;0;4993;145;777;350;2194;388;1069;70;;;;;
143804;"gm. Radziejowice";"żyrardowski";"mazowieckie";16;6;6;4626;5218;325;4301;1;4302;7;340;1;0;0;0;0;1;4301;1;3;4298;65;32;33;0;4233;99;753;372;1365;306;1261;77;;;;;
143805;"gm. Wiskitki";"żyrardowski";"mazowieckie";16;11;11;7140;8036;1092;6048;1;6049;5;253;1;0;0;0;0;1;6049;1;2;6047;120;70;50;0;5927;132;884;416;2559;493;1285;158;;;;;
146101;"Ostrołęka";"Ostrołęka";"mazowieckie";18;29;29;35596;37369;8341;27254;29;27283;39;452;28;0;0;0;1;27;27286;26;1;27285;462;192;165;105;26823;424;4084;1862;10949;2043;6823;562;;44;;32;
146201;"Płock";"Płock";"mazowieckie";16;70;70;82609;86942;16876;65665;45;65710;88;1123;43;1;1;0;1;40;65666;40;23;65643;748;468;280;0;64895;1135;11332;4987;22451;3446;20934;610;;;;;
146301;"Radom";"Radom";"mazowieckie";17;115;115;140837;150435;25502;115306;74;115380;149;1691;70;6;0;0;0;64;115349;62;91;115258;1107;610;497;0;114151;1825;14556;7122;45128;7752;35521;1645;602;;;;
146401;"Siedlce";"Siedlce";"mazowieckie";18;43;43;53629;57206;9036;44588;31;44619;42;787;29;5;0;0;0;24;44589;24;10;44579;549;290;197;62;44030;1003;6009;2483;17511;3747;12078;1076;;77;;46;
146502;"Bemowo";"Warszawa";"mazowieckie";19;53;53;89808;93786;8080;81798;46;81844;112;1627;43;4;0;0;0;39;81770;39;70;81700;485;217;268;0;81215;1191;11856;9464;16292;5439;36074;899;;;;;
146503;"Białołęka";"Warszawa";"mazowieckie";19;61;61;96079;101208;6562;89602;33;89635;57;2057;32;0;0;0;0;32;89614;32;85;89529;571;264;307;0;88958;1660;14145;9764;16854;6830;38608;1097;;;;;
146504;"Bielany";"Warszawa";"mazowieckie";19;50;50;93868;98322;10752;83061;57;83118;136;2175;49;0;0;1;0;48;83050;47;23;83027;531;230;301;0;82496;1214;10782;10227;20343;5152;33881;897;;;;;
146505;"Mokotów";"Warszawa";"mazowieckie";19;99;99;160786;166471;20356;140472;119;140591;242;3923;107;10;0;0;0;97;140406;97;83;140323;888;390;498;0;139435;1820;18360;20642;28195;7918;61200;1300;;;;;
146506;"Ochota";"Warszawa";"mazowieckie";19;49;49;57010;60659;6456;50550;68;50618;109;2255;57;1;0;1;0;55;50591;55;88;50503;358;169;189;0;50145;913;6453;7833;10678;3011;20817;440;;;;;
146507;"Praga-Południe";"Warszawa";"mazowieckie";19;85;85;132206;139757;14575;117585;85;117670;169;2793;71;10;0;1;1;60;117570;60;93;117477;891;423;468;0;116586;1717;15431;16021;26744;6964;48379;1330;;;;;
146508;"Praga-Północ";"Warszawa";"mazowieckie";19;31;31;43744;46224;7361;36381;48;36429;32;1144;48;0;0;0;0;48;36417;47;44;36373;343;164;179;0;36030;845;4087;5474;10092;2145;13038;349;;;;;
146509;"Rembertów";"Warszawa";"mazowieckie";19;13;13;17219;18320;1669;15544;8;15552;29;282;8;0;0;0;0;8;15548;8;9;15539;108;42;66;0;15431;243;2048;1594;4014;1189;6124;219;;;;;
146510;"Śródmieście";"Warszawa";"mazowieckie";19;47;47;77343;82541;10955;66757;105;66862;139;3881;95;10;0;0;0;85;67123;83;31;67092;411;183;228;0;66681;843;7754;10710;15318;3587;27782;687;;;;;
146511;"Targówek";"Warszawa";"mazowieckie";19;46;46;86440;94655;9256;77283;46;77329;82;1712;43;1;0;0;0;42;77375;42;107;77268;559;299;260;0;76709;1322;10181;8248;21203;5055;29800;900;;;;;
146512;"Ursus";"Warszawa";"mazowieckie";19;25;25;45253;48063;4224;41030;8;41038;55;1030;8;2;0;1;0;5;41002;5;25;40977;237;118;119;0;40740;749;6210;4412;9639;3300;15902;528;;;;;
146513;"Ursynów";"Warszawa";"mazowieckie";19;69;69;109869;112190;10139;99859;60;99919;139;2468;58;8;1;1;0;50;99823;1101;78;99745;554;255;299;0;99191;1167;14512;12284;18478;5847;45958;945;;;;;
146514;"Wawer";"Warszawa";"mazowieckie";19;35;35;57427;60377;5245;52205;55;52260;89;1431;51;2;0;0;0;49;52294;49;23;52271;362;180;182;0;51909;678;7750;4644;13519;3662;20937;719;;;;;
146515;"Wesoła";"Warszawa";"mazowieckie";19;11;11;17566;18911;1101;16465;5;16470;39;406;5;3;0;0;0;2;16462;2;8;16454;119;45;74;0;16335;233;2311;1532;4027;1274;6676;282;;;;;
146516;"Wilanów";"Warszawa";"mazowieckie";19;20;20;29614;30015;2435;27290;12;27302;22;993;11;1;0;0;0;10;27290;10;13;27277;135;71;64;0;27142;248;4185;2910;4026;1423;14116;234;;;;;
146517;"Włochy";"Warszawa";"mazowieckie";19;26;26;32914;34638;2676;30219;22;30241;30;1365;20;0;0;0;0;20;30213;20;12;30201;180;93;87;0;30021;506;4610;3711;6363;2369;12115;347;;;;;
146518;"Wola";"Warszawa";"mazowieckie";19;65;65;114343;110165;8719;91332;88;91420;107;3053;82;7;0;0;0;76;91402;76;64;91338;677;314;363;0;90661;1302;12344;12981;19988;5977;37210;859;;;;;
146519;"Żoliborz";"Warszawa";"mazowieckie";19;20;20;38698;40912;3210;35480;46;35526;65;1437;42;0;0;1;1;40;35496;40;7;35489;230;105;125;0;35259;442;4726;5665;6973;1941;15215;297;;;;;
160101;"m. Brzeg";"brzeski";"opolskie";21;24;24;24480;25831;5917;18562;29;18591;41;227;24;1;0;0;0;23;18583;23;18;18565;224;120;104;0;18341;268;1921;1468;6124;1248;7004;275;;;;;33
160102;"gm. Skarbimierz";"brzeski";"opolskie";21;13;13;5838;6371;1065;4773;9;4782;0;42;8;0;0;0;0;8;4778;8;1;4777;97;55;42;0;4680;91;603;311;1762;427;1393;84;;;;;9
160103;"gm. Grodków";"brzeski";"opolskie";21;31;31;13248;14236;3852;9395;1;9396;17;74;1;0;0;0;0;1;9393;1;0;9393;257;149;108;0;9136;141;990;699;3732;634;2825;93;;;;;22
160104;"gm. Lewin Brzeski";"brzeski";"opolskie";21;15;15;8863;9638;2306;6557;3;6560;15;56;3;0;0;0;0;3;6560;3;2;6558;162;96;66;0;6396;112;866;496;2428;535;1814;117;;;;;28
160105;"gm. Lubsza";"brzeski";"opolskie";21;11;11;6275;6808;1576;4699;1;4700;12;62;1;0;0;0;0;1;4699;1;0;4699;86;43;43;0;4613;87;547;269;1856;326;1403;111;;;;;14
160106;"gm. Olszanka";"brzeski";"opolskie";21;10;10;3398;3683;695;2703;0;2703;8;43;0;0;0;0;0;0;2703;0;0;2703;63;34;29;0;2640;38;303;154;1250;246;591;54;;;;;4
160201;"gm. Baborów";"głubczycki";"opolskie";21;10;10;4278;4541;1480;2798;0;2798;10;12;0;0;0;0;0;0;2798;0;0;2798;86;67;19;0;2712;43;247;142;1290;196;702;54;;;;;38
160202;"gm. Branice";"głubczycki";"opolskie";21;13;13;5354;5155;2134;3220;2;3222;9;48;2;0;0;0;0;2;3221;2;0;3221;90;50;40;0;3131;114;272;215;1479;161;820;58;;;;;12
160203;"gm. Głubczyce";"głubczycki";"opolskie";21;28;28;15549;16237;4574;10974;4;10978;21;210;4;0;0;0;0;4;10975;4;2;10973;225;119;106;0;10748;157;866;496;4760;594;3668;174;;;;;33
160204;"gm. Kietrz";"głubczycki";"opolskie";21;13;13;7470;7861;2207;5263;6;5269;17;27;6;1;0;0;0;5;5266;5;0;5266;131;77;54;0;5135;98;528;299;2299;388;1420;90;;;;;13
160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";21;36;36;39696;42261;10333;29363;20;29383;47;394;18;1;0;0;0;17;29368;17;41;29327;520;349;171;0;28807;458;3194;2381;7876;1556;12281;452;;;;;609
160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";21;9;9;5421;5938;1711;3710;0;3710;17;41;0;0;0;0;0;0;3710;0;1;3709;119;91;28;0;3590;63;445;225;1039;234;1149;101;;;;;334
160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";21;5;5;3878;4229;1431;2447;1;2448;1;25;1;1;0;0;0;0;2447;0;0;2447;101;68;33;0;2346;38;207;105;580;151;674;54;;;;;537
160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";21;10;10;5260;5719;2113;3147;0;3147;4;19;0;0;0;0;0;0;3147;0;0;3147;123;74;49;0;3024;79;405;168;908;202;826;44;;;;;392
160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";21;5;5;2850;3077;1162;1688;0;1688;6;16;0;0;0;0;0;0;1688;0;0;1688;63;37;26;0;1625;42;160;97;457;125;473;23;;;;;248
160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";21;8;8;5871;6401;2079;3792;0;3792;8;47;0;0;0;0;0;0;3790;0;1;3789;99;64;35;0;3690;63;384;147;814;253;1211;96;;;;;722
160401;"gm. Byczyna";"kluczborski";"opolskie";21;16;16;6371;6813;1881;4490;0;4490;9;65;0;0;0;0;0;0;4489;0;0;4489;143;100;43;0;4346;41;788;339;1780;283;1024;70;;;;;21
160402;"gm. Kluczbork";"kluczborski";"opolskie";21;29;29;25108;26792;7361;17747;8;17755;42;338;8;0;0;0;0;8;17756;8;1;17755;299;171;128;0;17456;162;3315;1042;5213;1042;5887;269;;;;;526
160403;"gm. Lasowice Wielkie";"kluczborski";"opolskie";21;10;10;4734;5141;2095;2639;0;2639;2;20;0;0;0;0;0;0;2639;0;0;2639;85;60;25;0;2554;41;362;126;737;202;609;40;;;;;437
160404;"gm. Wołczyn";"kluczborski";"opolskie";21;15;15;8951;9628;2740;6211;13;6224;23;73;12;4;0;0;1;7;6218;7;1;6217;147;83;64;0;6070;82;871;345;2612;466;1550;93;;;;;51
160501;"gm. Gogolin";"krapkowicki";"opolskie";21;12;12;8606;9519;2909;5687;7;5694;8;93;7;1;0;0;0;6;5693;6;0;5693;176;137;39;0;5517;101;1015;321;1228;340;1715;106;;;;;691
160502;"gm. Krapkowice";"krapkowicki";"opolskie";21;19;19;15644;16871;4986;10658;5;10663;24;111;5;0;0;0;0;5;10662;5;0;10662;205;151;54;0;10457;191;1524;716;2620;653;3439;179;;;;;1135
160503;"gm. Strzeleczki";"krapkowicki";"opolskie";21;7;7;5319;5772;2003;3316;1;3317;0;75;1;0;0;0;0;1;3316;1;0;3316;137;100;37;0;3179;76;433;148;742;188;804;81;;;;;707
160504;"gm. Walce";"krapkowicki";"opolskie";21;8;8;3761;4195;1398;2362;5;2367;3;13;5;0;0;0;0;5;2368;5;1;2367;80;65;15;0;2287;41;272;84;443;141;558;30;;;;;718
160505;"gm. Zdzieszowice";"krapkowicki";"opolskie";21;11;11;10168;10919;3383;6785;0;6785;7;64;0;0;0;0;0;0;6786;0;0;6786;228;169;59;0;6558;180;864;530;1603;444;2269;122;;;;;546
160601;"gm. Domaszowice";"namysłowski";"opolskie";21;8;8;2542;2760;563;1979;1;1980;3;12;1;0;0;0;0;1;1980;1;0;1980;72;45;27;0;1908;33;350;198;801;136;359;27;;;;;4
160602;"gm. Namysłów";"namysłowski";"opolskie";21;38;38;18471;19819;4112;14359;5;14364;23;142;4;1;0;0;0;3;14355;3;15;14340;253;159;94;0;14087;189;2497;1106;5085;1035;3963;189;;;;;23
160603;"gm. Pokój";"namysłowski";"opolskie";21;11;11;3724;3993;1280;2444;1;2445;8;76;0;0;0;0;0;0;2444;0;0;2444;99;72;27;0;2345;39;430;147;758;138;725;51;;;;;57
160604;"gm. Świerczów";"namysłowski";"opolskie";21;7;7;2381;2563;607;1774;0;1774;3;33;0;0;0;0;0;0;1775;0;0;1775;62;45;17;0;1713;32;218;126;710;153;450;15;;;;;9
